City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,rio grande,-169.7992034199275,4.18833272732833,300.23,81,95,7.04,ws,1680372583
379,yerbogachen,134.59651216337744,4.198976218095652,301.94,66,77,1.66,pw,1680372679
488,collie,41.22790024191952,4.2542015975597565,303.48,46,90,2.41,ke,1680372733
42,belushya guba,-50.75256903423764,4.323816435862881,300.12,71,59,7.61,gf,1680372505
502,luena,37.87857491484471,4.515148809739827,297.09,56,79,2.83,et,1680372740
394,mirnyy,-53.08118206673055,4.638004309981184,300.65,69,54,2.73,gf,1680372691
194,katsuura,16.15563086750231,5.641155210158928,295.62,71,86,1.41,cf,1680372578
318,zhezkazgan,175.35137255476803,5.967200728008294,300.01,78,100,5.3,ki,1680372648
575,egvekinot,169.74512964595317,6.449945840368613,299.56,81,100,4.54,ki,1680372776
333,osa,-92.31975558806288,6.805846244838122,301.25,73,95,3.07,sv,1680372653
172,port alfred,-21.469249046706068,7.008466225111491,299.65,78,0,2.73,gw,1680372560
19,airai,-77.22760601664987,7.296959303156825,303.11,77,94,1.29,co,1680372491
444,mackay,127.4357108830335,7.400397492349157,300.95,77,100,3.02,ph,1680372712
482,nome,-113.25328988472135,7.910997541822525,300.55,85,98,8.08,mx,1680372728
338,fez,-127.84350629051546,8.232702224074444,299.01,87,74,9.46,pf,1680372655
59,rock springs,-34.31294265573791,8.458118896502384,298.07,77,44,5.66,cv,1680372514
353,zhenhai,32.78869116289218,8.523442336783845,305.23,17,100,1.88,sd,1680372662
548,singleton,-36.45254169840649,9.062116606464713,298.35,75,78,6.54,br,1680372765
574,mao,-75.15876647732854,9.453885342379593,307.98,38,100,2.06,co,1680372776
97,sao felix do xingu,27.105203716723736,10.015042193070514,302.88,11,88,2.22,sd,1680372528
476,grand-santi,-66.35810254458737,10.367198857242997,301.49,55,82,3.3,ve,1680372725
48,flinders,25.237384101069978,11.461612001601594,300.6,10,91,4.53,sd,1680372508
41,birin,-139.39838659402176,11.800819232021922,297.12,84,70,9.93,us,1680372504
5,kavieng,155.15654177558883,11.911535988081411,300.29,70,98,6.59,pg,1680372483
510,kashi,-167.392005771431,12.179868300640123,299.47,77,100,7.2,us,1680372746
202,saint george,-28.43659210401819,12.840692831661867,297.67,77,0,6.43,cv,1680372581
547,yaypan,-157.87513198077858,13.338466520077844,298.03,81,100,9.85,us,1680372765
91,makakilo city,-156.70212082322232,13.48516295658004,297.95,79,99,9.17,us,1680372526
513,umzimvubu,156.69592111563963,13.625767183921866,299.91,65,97,5.44,pg,1680372748
123,port elizabeth,173.9481107507316,14.45150167744204,297.99,76,87,3.89,ki,1680372536
263,esperance,-95.07929143570593,15.022053347244936,300.59,69,22,1.72,mx,1680372610
519,piranshahr,24.64144045582276,15.1959674292371,297.3,9,69,5.2,sd,1680372752
157,nikolskoye,-52.31551272096105,15.541169937955104,297.98,77,100,8.78,bb,1680372552
375,hay river,108.49340574415952,16.174096412120534,299.2,91,71,7.13,vn,1680372677
115,tommot,160.58435865362878,17.426779302956163,298.22,69,50,4.89,ki,1680372534
443,maple creek,179.98892642262643,17.440180445160124,297.05,70,50,5.26,ki,1680372712
22,kapaa,147.72630343954722,17.81789926989697,299.36,78,9,4.49,pw,1680372492
166,viedma,-52.63464770995249,17.86718236906509,297.98,71,76,9.27,bb,1680372557
350,saint-pierre,62.48034820914927,17.979995385106477,299.06,56,5,1.08,om,1680372660
197,mount gambier,96.32481751424292,18.27033993600276,296.92,69,9,0.96,mm,1680372580
13,troitskoye,-11.012508641793488,18.274800091582605,309.71,5,0,5.49,mr,1680372487
116,bredasdorp,-159.66192028932687,18.293678869712124,297.75,80,95,7.94,us,1680372534
181,aklavik,93.11598398156514,18.429612997141632,299.61,78,6,4.86,mm,1680372566
313,port lincoln,-86.1539680390929,18.65716989445072,299.75,73,15,6.73,bz,1680372646
517,nalut,174.7427252766348,18.682276598864902,296.38,67,0,3.82,ki,1680372751
164,tucuman,111.78932442674898,18.88132224634758,298.8,84,91,6.1,cn,1680372556
429,goderich,-17.758175699078407,18.89950222310144,297.63,55,0,6.21,mr,1680372708
427,ternate,178.0149927666609,18.903487596445306,296.13,67,3,3.07,ki,1680372707
30,mar del plata,-51.48632426919573,18.90542157085943,297.75,71,86,10.0,bb,1680372497
283,maracacume,-108.14528664570574,18.947863479597544,296.31,72,96,5.0,mx,1680372626
541,opochka,-25.21803530018363,19.162411421325885,297.26,73,0,4.7,cv,1680372762
183,chanute,156.93640140681015,19.31679288489464,297.8,73,1,0.51,ki,1680372568
90,trabzon,111.95155371487112,19.33704170724016,297.99,88,86,6.33,cn,1680372526
602,braslav,-2.504105586141378,20.08019024429501,304.45,5,0,3.6,ml,1680372791
285,fond du lac,103.16535099382396,20.09293514788413,288.49,57,26,0.97,la,1680372628
342,bongandanga,-130.8418077961512,20.234389450666683,291.44,73,95,9.67,us,1680372656
397,zeya,9.886373542536433,20.26417510362332,296.35,5,0,2.61,ne,1680372693
61,saint-philippe,-118.48257768609317,20.555601947597097,291.41,76,93,8.5,mx,1680372515
12,ilulissat,-29.586859206440067,20.69385486702292,295.85,81,0,3.53,cv,1680372486
461,saint-dizier,132.53013977783064,21.288374013735663,297.67,85,0,3.84,jp,1680372718
168,kaeo,-10.174460560188264,21.60414112437691,306.18,4,0,4.05,mr,1680372558
23,los llanos de aridane,164.9171693266398,21.98183599559428,296.42,71,0,4.53,ki,1680372493
494,aqtobe,-163.70787065303944,22.300568133724468,296.55,77,1,3.42,us,1680372736
77,padang,162.44454683883146,22.8217514483578,297.24,76,6,6.32,ki,1680372522
441,kalmunai,-147.77281960379537,22.87730881959854,295.05,59,88,8.78,us,1680372711
419,toungoo,-30.510952659140088,22.912311756937584,295.85,82,24,2.92,cv,1680372704
292,markova,151.4413923179203,23.209837254316923,296.78,78,3,3.75,jp,1680372632
565,massaguet,133.97261832307595,23.4878348350306,296.87,85,3,5.89,jp,1680372773
307,myski,-115.24281086008298,23.542265048763525,289.83,75,87,7.73,mx,1680372644
578,guruvayur,143.87754091461176,23.592663222311444,296.7,77,2,1.08,jp,1680372777
180,emba,-40.18068625828667,24.076905271892244,295.78,77,24,7.39,cv,1680372565
26,lagoa,-23.85062357147893,26.143863333987326,294.82,80,0,7.45,es,1680372495
607,prachin buri,119.1456511494435,26.624158440171183,286.79,97,46,0.52,cn,1680372794
60,oranjemund,-2.0901216566390985,26.904007591239832,302.88,7,0,3.19,dz,1680372514
264,mpulungu,-77.45991837898447,27.39717336681201,297.32,78,12,5.65,bs,1680372612
244,tambovka,-24.219762921263367,27.55670210961749,294.72,82,0,6.19,es,1680372597
314,forbes,168.45839599870197,28.115361025375197,293.94,89,100,10.87,ki,1680372646
305,itarema,-57.66604833571371,28.29885903342786,292.51,59,12,6.18,bm,1680372643
383,bambanglipuro,10.310467544284478,28.45931211735561,297.32,11,0,2.95,ly,1680372683
43,babanusah,-120.66131713073928,28.640163714125848,286.71,68,1,6.95,mx,1680372506
182,castro,39.48971994276508,28.8650936614778,287.83,27,0,3.31,sa,1680372566
529,fort-shevchenko,143.36292686863806,29.41388161701684,291.82,86,100,9.52,jp,1680372758
421,fasa,-57.11219499686891,29.74125813765409,291.11,57,91,3.96,bm,1680372705
533,kuala selangor,93.81729020846784,29.780783734325723,273.98,90,93,1.89,in,1680372760
49,rikitea,-172.7578878783222,30.249961727626697,290.65,79,4,4.93,us,1680372509
395,enugu,157.39556791409905,30.42931388284366,290.1,66,100,5.02,ru,1680372692
203,pogar,-71.68812077147608,30.743147802187693,293.68,73,63,8.29,us,1680372582
25,albany,-165.90922947377425,31.423412249218742,290.84,83,5,5.45,us,1680372494
32,mataura,26.88307144107304,31.66370456700733,291.64,54,1,2.8,eg,1680372499
532,sioux lookout,115.6971783236599,31.896973668601238,288.8,71,61,3.24,cn,1680372759
107,chernyshevskiy,-23.62520939003141,32.14903166196308,293.28,83,17,8.94,pt,1680372531
93,talnakh,-172.7074961593928,33.20818810335042,288.45,88,100,6.09,us,1680372527
508,beyneu,59.52301160851556,33.353077749968634,285.65,39,3,3.05,ir,1680372745
613,sagua de tanamo,132.38743594982583,33.59735840987294,286.24,76,100,3.76,jp,1680372797
585,abu dhabi,132.96795216071007,33.65583269571829,282.33,75,100,1.23,jp,1680372779
95,dikson,78.39221737463856,34.04346421782925,260.06,80,75,0.95,in,1680372528
4,ribeira grande,-30.398996742202968,34.107196217888145,292.43,89,100,6.01,pt,1680372483
210,boueni,35.39089700400666,34.99657445093939,289.85,74,32,7.18,sy,1680372585
46,pitsunda,3.212093280967167,35.0523574115314,291.63,44,59,7.01,dz,1680372507
391,baruun-urt,-165.34232340776677,35.131274426670856,288.12,93,98,3.18,us,1680372689
65,lapua,98.1194861992056,35.271268482442935,264.79,88,100,2.96,cn,1680372518
355,brae,-16.71103916656145,35.32837029145995,291.57,81,7,3.66,pt,1680372664
257,baculin,110.8747504994663,35.48449575255347,288.1,72,31,5.55,cn,1680372605
329,lorengau,-16.619898950340087,35.49021619540581,291.6,79,9,3.38,pt,1680372652
416,shenjiamen,122.55873682376728,35.52890613835197,284.27,67,14,3.28,cn,1680372703
425,hovd,-148.5345211615135,35.55086019738732,288.59,90,100,4.75,us,1680372706
208,rawson,119.448057726154,35.71082502907048,281.81,38,0,0.96,cn,1680372583
237,kloulklubed,-77.53375142362107,36.03009032242838,295.13,73,40,7.72,us,1680372594
38,san quintin,18.86074613128065,36.29866313087116,289.55,82,100,5.78,gr,1680372503
345,pistsovo,-0.280155380641105,36.31539449800971,290.3,88,79,7.19,dz,1680372658
567,yomitan,6.499665012793457,37.00731582211162,286.68,80,85,0.91,dz,1680372774
111,geraldton,89.93826582781384,37.33613124472463,268.76,46,93,3.66,cn,1680372533
204,neiafu,16.87756740240252,37.45919020920431,289.61,82,100,0.99,it,1680372582
274,guatire,-95.16646705872957,37.81017788556268,287.11,38,0,6.57,us,1680372620
339,prachuap khiri khan,-150.59573770553175,37.89020733164082,286.96,94,100,4.9,us,1680372655
18,punta arenas,85.15729176484672,38.60205330234771,281.92,24,73,6.36,cn,1680372490
557,coihaique,-63.39462882229731,39.05468839493281,289.15,79,100,18.02,ca,1680372770
385,auki,-48.52904223760672,39.41857949656398,282.18,60,46,9.4,ca,1680372684
276,esmeraldas,162.03548407996624,39.4418875865901,279.61,61,8,1.07,ru,1680372622
466,vostok,-69.05261151999474,39.49618876919519,289.66,87,100,19.25,us,1680372719
130,komsomolskiy,44.1993797043495,39.57896986579246,269.69,83,100,2.45,tr,1680372538
69,souillac,66.14808342683745,39.8276316300209,290.27,52,63,3.18,uz,1680372519
280,mandera,56.84318327279547,39.88637738353117,284.61,60,91,7.78,tm,1680372625
191,xam nua,-58.061966380470366,39.92374318416245,287.75,68,98,11.28,ca,1680372575
426,arvika,-38.14613129821189,40.4129480306845,284.42,88,68,15.05,pt,1680372706
514,sahbuz,32.293869789658345,40.54203447659165,278.33,76,98,2.61,tr,1680372749
354,mekhe,-62.82853217223601,41.100677431465925,287.24,87,100,20.22,ca,1680372663
114,coquimbo,39.92584390616568,41.25571139109809,282.24,72,4,5.82,tr,1680372533
503,goma,-144.85193396240822,41.71317908636314,282.03,71,100,4.89,us,1680372741
321,villa carlos paz,174.4058462861791,41.775172346333335,278.9,74,100,9.74,ru,1680372649
70,newport,-109.31313531618588,42.12168915777824,271.49,78,100,4.1,us,1680372520
368,valentin gomez farias,116.10669082651634,43.411638344673065,279.64,63,98,6.97,cn,1680372672
54,lyngseidet,40.67134586539626,43.41465894146833,272.05,90,37,2.32,ge,1680372511
495,ixtapa,-88.23193729688207,43.72859798265623,273.56,85,100,10.2,us,1680372736
331,mitsamiouli,163.94481074206004,43.8462330679061,276.01,68,85,7.26,ru,1680372652
597,bogotol,26.18756419573282,44.138420052990426,285.9,85,92,3.86,ro,1680372788
225,sur,95.7044255216179,44.95531719941224,264.81,25,35,5.84,cn,1680372591
414,puro,-30.029208113480934,45.13074806527453,287.83,88,100,9.76,pt,1680372702
356,muros,-92.54852399601884,45.43296228923512,274.2,71,0,4.12,us,1680372664
50,tasiilaq,-9.070744297641111,45.52015475338911,284.64,67,14,9.19,es,1680372509
546,utiroa,139.17096015718522,45.813608029742,275.69,88,7,0.95,ru,1680372764
376,colares,-63.21755430896313,46.12677821536954,275.13,97,100,4.92,ca,1680372677
288,vila,-134.5518185230615,46.27985964030725,279.63,66,71,12.2,ca,1680372630
521,benghazi,-107.93038841725256,46.32564176949708,284.04,48,78,6.56,us,1680372753
267,haines junction,59.120770465843975,46.39402830812367,284.12,23,5,10.81,kz,1680372615
332,ahipara,-31.06554196452572,46.670935139352025,286.88,90,100,9.5,pt,1680372653
402,upata,47.43787973978067,46.87931129280079,278.44,86,100,8.82,ru,1680372696
509,sabang,-12.188596704488331,46.94008985857352,284.38,62,26,5.81,es,1680372745
587,ukiah,66.3700822446703,47.29178132286447,278.28,28,4,13.22,kz,1680372780
236,petropavlovka,-26.294176838395288,47.38851213191819,286.77,97,100,10.99,pt,1680372594
113,provideniya,114.99008867225228,48.55712930854284,272.26,40,100,6.84,ru,1680372533
178,marsh harbour,160.50017028726103,48.66060084581281,274.25,77,7,6.01,ru,1680372564
405,sukumo,-86.16475100588889,48.99435469266024,272.08,79,47,4.87,ca,1680372698
15,korla,136.65011936460155,49.41643702582647,272.42,82,4,1.3,ru,1680372488
255,cururupu,86.05710492245248,50.01510641889996,250.62,98,71,0.98,ru,1680372602
86,kysyl-syr,-1.3449894840753984,50.23142166615034,283.76,82,95,7.15,gb,1680372525
138,pyu,-26.54374934704853,50.61213820876654,283.63,91,100,17.56,pt,1680372541
377,hasaki,104.63116920742824,50.62699396417335,261.53,57,100,3.89,ru,1680372678
609,calvinia,-39.37961163507276,51.06616050163328,281.22,94,96,2.94,gl,1680372795
561,ibra,55.14048748593294,51.28461219714464,282.55,39,81,6.5,ru,1680372771
192,mys shmidta,-17.063247776578976,51.52768635480001,282.46,55,70,2.49,ie,1680372577
29,marsa matruh,-31.25844935739028,51.54755451235772,283.88,95,100,12.62,pt,1680372496
422,borovoy,-2.045655330791448,52.07388702130689,283.68,76,100,3.13,gb,1680372705
224,mushie,168.514712066526,52.12079995686594,273.9,96,100,17.82,ru,1680372590
592,ugoofaaru,76.19111483529815,52.12135112908129,270.7,48,0,4.84,kz,1680372784
266,nishihara,-148.53794176272885,52.2872091515992,275.72,76,49,14.95,us,1680372614
341,lahij,103.16769271460988,52.499682801464246,260.36,87,15,2.1,ru,1680372656
311,constantine,33.07358781456327,52.64017246360123,282.11,79,98,5.01,ru,1680372646
500,zaria,-41.396132131153,53.58191348984792,274.37,94,100,12.04,gl,1680372739
560,sept-iles,87.7659270082222,53.68093188079075,260.12,87,35,1.48,ru,1680372771
190,serebryanyy bor,-127.29441656727292,53.87168966558278,271.76,73,56,2.25,ca,1680372574
491,mala vyska,-5.785889767929632,53.925842039894974,282.14,90,100,0.72,ie,1680372734
198,san joaquin,-115.74180501503749,54.02712636732849,276.05,72,97,1.64,ca,1680372580
84,bluff,55.81257870825203,54.21096159070342,276.87,89,100,1.5,ru,1680372524
147,quatre cocos,-51.01813457196064,54.77071701504852,273.44,67,100,5.1,ca,1680372546
155,skagen,-179.4329490792613,54.98920372455177,275.28,88,100,8.96,ru,1680372551
240,kourou,-175.87705603978594,55.03857034608356,275.64,85,100,8.39,ru,1680372595
608,mantua,172.26921234089662,55.31635116634601,274.1,77,89,10.17,ru,1680372794
551,clyde river,-147.17512386556865,56.04291705470297,275.65,73,98,13.16,us,1680372766
139,whitecourt,-87.41226031280078,56.26881083096268,255.73,83,71,4.68,ca,1680372541
154,alto vera,-27.80208067454032,57.033524522311126,278.7,60,98,5.83,is,1680372550
269,ust-shonosha,-34.627486474701584,57.07971903978071,277.89,70,97,5.74,gl,1680372617
456,waipawa,-43.87023731512713,57.34899359106532,273.97,59,74,2.74,gl,1680372716
284,iskateley,124.45527269117224,57.54930167527496,255.12,91,100,3.5,ru,1680372627
221,wahran,10.587166764000584,58.04911919383605,277.84,71,3,7.52,dk,1680372589
278,san patricio,165.41555103098688,58.232911552278296,274.06,82,27,3.86,ru,1680372624
524,serov,-138.7484157440001,58.494567700668,277.25,76,68,10.04,ca,1680372756
516,salalah,106.03935884581114,58.52021236355591,253.36,99,91,1.36,ru,1680372750
171,wanaka,-160.7251172622503,58.71881218751835,267.8,91,4,4.65,us,1680372560
158,hami,126.12635417029428,59.15034855914533,256.78,95,100,2.56,ru,1680372552
463,san jose,-136.80078722882138,59.49943158310791,264.26,92,100,3.62,ca,1680372718
606,arman,-134.2803034434347,60.12380557983241,271.84,84,100,0.87,ca,1680372793
195,kruisfontein,68.27603857274795,60.529241770006735,275.46,72,100,8.85,ru,1680372579
563,robertsganj,113.22404939997271,60.56803848251676,252.55,100,98,1.21,ru,1680372772
528,ville-marie,57.479939670460624,60.876764481858686,274.61,97,100,5.41,ru,1680372758
189,tomatlan,-176.14231780105578,61.15746456388467,272.0,77,97,11.29,ru,1680372573
568,itanhem,83.72107450405042,61.17005856895497,266.8,87,99,5.49,ru,1680372774
58,aktash,-34.793425682622114,61.28005337115911,276.04,58,58,6.64,gl,1680372513
10,ponta do sol,-158.07487824789254,61.28927637085815,261.03,93,70,1.65,us,1680372486
454,san cristobal,63.37526865658788,61.36308177389293,276.12,96,100,5.08,ru,1680372715
